[     531ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   54638ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   55369ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   56055ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   56754ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   57532ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   68406ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   69802ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   70335ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   70935ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   72070ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   72827ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
