[    1364ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   88622ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   88923ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   89132ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   89382ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   90507ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   90718ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   90926ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   91121ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   91314ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   91542ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   92542ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   92779ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   92949ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   93169ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   93373ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   93602ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   94600ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
